C=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=8,4,32,144,64,320,896,2048,4096,7168,16384,16384,73728,147456,262144,393216,655360,1310720,3670016,3145728
C=0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
C=32,8,64,144,16,20,896,4096,2048,224,512,1024,144,576,64,384,20,2560,896,48
C=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=3072,3072,4096,4096,3072,2048,7168,9216,8192,5120,6144,8192,4096,6144,3072,6144,2048,9216,7168,4096
C=0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
C=32,8,64,144,16,20,896,4096,2048,224,512,1024,144,576,64,384,20,2560,896,48
C=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=4096,1024,4096,9216,2048,5120,7168,8192,8192,7168,8192,4096,9216,9216,8192,6144,5120,5120,7168,3072
C=0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
C=32,8,64,144,16,20,896,4096,2048,224,512,1024,144,576,64,384,20,2560,896,48
